data_date_part;count(1);WeekDay
2021-05-19;619593;Wednesday
2021-05-18;615677;Tuesday
2021-05-17;611792;Monday
2021-05-16;611792;Sunday
2021-05-15;611792;Saturday
2021-05-14;610075;Friday
2021-05-13;607843;Thursday
2021-05-12;606177;Wednesday
2021-05-11;605064;Tuesday
2021-05-10;603754;Monday
2021-05-09;603754;Sunday
2021-05-08;603754;Saturday
2021-05-07;601649;Friday
2021-05-06;598850;Thursday
2021-05-05;595254;Wednesday
2021-05-04;591975;Tuesday
2021-05-03;591974;Monday
2021-05-02;591974;Sunday
2021-05-01;591974;Saturday
2021-04-30;590373;Friday
2021-04-29;588281;Thursday
2021-04-28;584676;Wednesday
2021-04-27;580342;Tuesday
2021-04-26;576511;Monday
2021-04-25;576511;Sunday
2021-04-24;576511;Saturday
2021-04-23;573913;Friday
2021-04-22;571780;Thursday
2021-04-21;569802;Wednesday
2021-04-20;568676;Tuesday
2021-04-19;567860;Monday
2021-04-18;567860;Sunday
2021-04-17;567836;Saturday
2021-04-16;567352;Friday
2021-04-15;566589;Thursday
2021-04-14;565823;Wednesday
2021-04-13;564203;Tuesday
2021-04-12;562435;Monday
2021-04-11;562435;Sunday
2021-04-10;562383;Saturday
2021-04-09;561259;Friday
2021-04-08;559794;Thursday
2021-04-07;558911;Wednesday
2021-04-06;557994;Tuesday
2021-04-05;556829;Monday
2021-04-04;556829;Sunday
2021-04-03;556811;Saturday
2021-04-02;556693;Friday
2021-04-01;556472;Thursday
2021-03-31;555388;Wednesday
2021-03-30;553868;Tuesday
2021-03-29;551543;Monday
2021-03-28;551543;Sunday
2021-03-27;551509;Saturday
2021-03-26;550572;Friday
2021-03-25;549714;Thursday
2021-03-24;548687;Wednesday
2021-03-23;546418;Tuesday
2021-03-22;543963;Monday
2021-03-21;543941;Sunday
2021-03-20;543810;Saturday
2021-03-19;543807;Friday
2021-03-18;542076;Thursday
2021-03-17;540136;Wednesday
2021-03-16;537487;Tuesday
2021-03-15;534214;Monday
2021-03-14;534213;Sunday
2021-03-13;534186;Saturday
2021-03-12;532918;Friday
2021-03-11;530341;Thursday
2021-03-10;528694;Wednesday
2021-03-09;527211;Tuesday
2021-03-08;525506;Monday
2021-03-07;525501;Sunday
2021-03-06;525469;Saturday
2021-03-05;524660;Friday
2021-03-04;523353;Thursday
2021-03-03;521714;Wednesday
2021-03-02;519976;Tuesday
2021-03-01;518199;Monday
2021-02-28;518182;Sunday
2021-02-27;518131;Saturday
2021-02-26;517012;Friday
2021-02-25;515526;Thursday
2021-02-24;513927;Wednesday
2021-02-23;512618;Tuesday
2021-02-22;510835;Monday
2021-02-21;510835;Sunday
2021-02-20;510815;Saturday
2021-02-19;509822;Friday
2021-02-18;508367;Thursday
2021-02-17;506766;Wednesday
2021-02-16;505099;Tuesday
2021-02-15;502532;Monday
2021-02-14;502532;Sunday
2021-02-13;502462;Saturday
2021-02-12;501055;Friday
2021-02-11;497797;Thursday
