date;vals
2021-05-18;6510
2021-05-17;5849
2021-05-16;1079
2021-05-15;1625
2021-05-14;6370
2021-05-13;5847
2021-05-12;5890
2021-05-11;5794
2021-05-10;7758
2021-05-09;1030
2021-05-08;1218
2021-05-07;6012
2021-05-06;6017
2021-05-05;6191
2021-05-04;6874
2021-05-03;5813
2021-05-02;968
2021-05-01;1468
2021-04-30;6272
2021-04-29;7549
2021-04-28;7182
2021-04-27;6456
2021-04-26;5545
2021-04-25;953
2021-04-24;1090
2021-04-23;4334
2021-04-22;4975
2021-04-21;4701
2021-04-20;5240
2021-04-19;5869
2021-04-18;870
2021-04-17;1198
2021-04-16;4883
2021-04-15;5424
2021-04-14;6309
2021-04-13;5956
2021-04-12;5277
2021-04-11;972
2021-04-10;1594
2021-04-09;5012
2021-04-08;5370
2021-04-07;5597
2021-04-06;6380
2021-04-05;2590
2021-04-04;844
2021-04-03;1032
2021-04-02;1807
2021-04-01;5794
2021-03-31;5684
2021-03-30;6492
2021-03-29;5844
2021-03-28;1030
2021-03-27;1358
2021-03-26;6017
2021-03-25;5546
2021-03-24;6031
2021-03-23;6277
2021-03-22;6421
2021-03-21;1055
2021-03-20;1416
2021-03-19;5949
2021-03-18;6988
2021-03-17;6364
2021-03-16;7062
2021-03-15;7187
2021-03-14;1198
2021-03-13;1597
2021-03-12;6945
2021-03-11;8191
2021-03-10;7251
2021-03-09;8082
2021-03-08;8482
2021-03-07;1302
2021-03-06;1660
2021-03-05;7831
2021-03-04;7172
2021-03-03;8442
2021-03-02;7532
2021-03-01;8732
2021-02-28;1206
2021-02-27;1511
2021-02-26;7422
2021-02-25;9650
2021-02-24;8726
2021-02-23;9842
2021-02-22;7875
2021-02-21;1427
2021-02-20;1848
2021-02-19;8184
2021-02-18;6798
2021-02-17;7892
2021-02-16;7909
2021-02-15;8928
2021-02-14;1269
2021-02-13;1621
2021-02-12;6856
2021-02-11;7608
2021-02-10;8011
2021-02-09;7906
2021-02-08;9534
2021-02-07;1523
2021-02-06;1988
2021-02-05;8324
2021-02-04;8098
2021-02-03;7544
2021-02-02;7216
2021-02-01;6680
2021-01-31;1108
2021-01-30;1404
2021-01-29;6138
2021-01-28;7417
2021-01-27;7314
2021-01-26;7710
2021-01-25;7281
2021-01-24;1093
2021-01-23;1600
2021-01-22;6815
2021-01-21;6985
2021-01-20;6834
2021-01-19;6709
2021-01-18;5755
2021-01-17;1061
2021-01-16;1542
2021-01-15;6859
2021-01-14;7665
2021-01-13;8609
2021-01-12;8701
2021-01-11;8004
2021-01-10;1299
2021-01-09;1711
2021-01-08;8107
2021-01-07;9271
2021-01-06;8657
2021-01-05;6823
2021-01-04;7877
