date;vals
2021-06-25;1024685
2021-06-24;1005145
2021-06-23;986341
2021-06-22;956613
2021-06-21;897053
2021-06-18;878724
2021-06-17;667053
2021-06-16;591717
2021-06-15;520480
2021-06-14;367983
2021-06-11;317730
2021-06-10;297136
2021-06-09;278208
2021-06-08;260895
2021-06-07;203688
2021-06-04;179188
2021-06-03;111725
2021-06-02;80314
2021-06-01;17672
2021-05-31;1489005
2021-05-28;1461022
2021-05-27;1436289
2021-05-26;1384876
2021-05-25;1368280
2021-05-24;1253898
2021-05-21;1176933
2021-05-20;1158969
2021-05-19;1126523
2021-05-18;846251
2021-05-17;543139
2021-05-14;486008
2021-05-13;451581
2021-05-12;350955
2021-05-11;261173
2021-05-10;183249
2021-05-07;156732
2021-05-06;133771
2021-05-05;116084
2021-05-04;88700
2021-05-03;22465
2021-04-30;1035029
2021-04-29;1011651
2021-04-28;989122
2021-04-27;945046
2021-04-26;847089
2021-04-23;809112
2021-04-22;760279
2021-04-21;731064
2021-04-20;655222
2021-04-19;457592
2021-04-16;389259
2021-04-15;301914
2021-04-14;281337
2021-04-13;260764
2021-04-12;198053
2021-04-09;173155
2021-04-08;140584
2021-04-07;115192
2021-04-06;94171
2021-04-05;68669
2021-04-01;15158
2021-03-31;1529711
2021-03-30;1501759
2021-03-29;1423841
2021-03-26;1400533
2021-03-25;1354535
2021-03-24;1217303
2021-03-23;1052489
2021-03-22;1017846
2021-03-19;892663
2021-03-18;676645
2021-03-17;471288
2021-03-16;425466
2021-03-15;347895
2021-03-12;324645
2021-03-11;303709
2021-03-10;282855
2021-03-09;260954
2021-03-08;234281
2021-03-05;207211
2021-03-04;178040
2021-03-03;154084
2021-03-02;129999
2021-03-01;56160
2021-02-26;1628671
2021-02-25;1589249
2021-02-24;1549957
2021-02-23;1205877
2021-02-22;739721
2021-02-19;480796
2021-02-18;457546
2021-02-17;435488
2021-02-16;407945
2021-02-15;383191
2021-02-12;336798
2021-02-11;314641
2021-02-10;291407
2021-02-09;267535
2021-02-08;240170
2021-02-05;214372
2021-02-04;177147
2021-02-03;150482
2021-02-02;128773
2021-02-01;37777
2021-01-29;1148375
2021-01-28;1121822
2021-01-27;1100724
2021-01-26;1001316
2021-01-25;724402
2021-01-22;557434
2021-01-21;455685
2021-01-20;380518
2021-01-19;363334
2021-01-18;334830
2021-01-15;312263
2021-01-14;292114
2021-01-13;271217
2021-01-12;251062
2021-01-11;232632
2021-01-08;209398
2021-01-07;111081
2021-01-05;84467
2021-01-04;22265
2020-12-31;1136541
2020-12-30;1113587
2020-12-29;1085790
2020-12-28;1050683
2020-12-24;902110
2020-12-23;880863
2020-12-22;855594
2020-12-21;812113
2020-12-18;759703
2020-12-17;675068
2020-12-16;609494
2020-12-15;561550
2020-12-14;401221
2020-12-11;243406
2020-12-10;223915
2020-12-09;201658
2020-12-07;174095
2020-12-04;151933
2020-12-03;124426
2020-12-02;91672
2020-12-01;32545
2020-11-30;1771367
2020-11-27;1096584
2020-11-26;973521
2020-11-25;820844
2020-11-24;681223
2020-11-23;608077
2020-11-20;562015
2020-11-19;489367
2020-11-18;385951
2020-11-17;323471
2020-11-16;284950
2020-11-13;263254
2020-11-12;240873
2020-11-11;217042
2020-11-10;185826
2020-11-09;153247
2020-11-06;135637
2020-11-05;116719
2020-11-04;63696
2020-11-03;39546
2020-11-02;21044
2020-10-30;1317511
2020-10-29;1295556
2020-10-28;1271968
2020-10-27;1242715
2020-10-26;1136438
2020-10-23;1031482
2020-10-22;868216
2020-10-21;718042
2020-10-20;544029
2020-10-19;361981
2020-10-16;334479
2020-10-15;318893
2020-10-14;299003
2020-10-13;239848
2020-10-09;212107
2020-10-08;196861
2020-10-07;181120
2020-10-06;108652
2020-10-05;90222
2020-10-02;68913
2020-10-01;16261
2020-09-30;601817
2020-09-29;586519
2020-09-28;535605
2020-09-25;515660
2020-09-24;487030
2020-09-23;471707
2020-09-22;456975
2020-09-21;441491
2020-09-18;425639
2020-09-17;401620
2020-09-16;383036
2020-09-15;310948
2020-09-14;216142
2020-09-11;184274
2020-09-10;172696
2020-09-09;161831
2020-09-08;149906
2020-09-07;135801
2020-09-04;90151
2020-09-03;71333
2020-09-02;60348
2020-09-01;13317
2020-08-31;1026681
2020-08-28;1013725
2020-08-27;1004372
2020-08-26;995255
2020-08-25;984441
2020-08-24;972803
2020-08-21;962822
2020-08-20;953594
2020-08-19;943563
2020-08-18;932999
2020-08-17;921313
2020-08-14;892121
2020-08-13;841945
2020-08-12;794702
2020-08-11;624812
2020-08-10;352276
2020-08-07;132506
2020-08-06;100264
2020-08-05;87147
2020-08-04;73992
2020-08-03;19524
2020-07-31;1207755
2020-07-30;1183975
2020-07-29;1164389
2020-07-28;1141442
2020-07-27;1069230
2020-07-24;1038198
2020-07-23;1006194
2020-07-22;919908
2020-07-21;832050
2020-07-20;712282
2020-07-17;608466
2020-07-16;539941
2020-07-15;485209
2020-07-14;455918
2020-07-13;441345
2020-07-10;426697
2020-07-09;411024
2020-07-08;395438
2020-07-07;379946
2020-07-06;346436
2020-07-03;263225
2020-07-02;196378
2020-07-01;176769
2020-06-30;1276723
2020-06-29;1257500
2020-06-26;1220649
2020-06-25;1173434
2020-06-24;1138017
2020-06-23;977408
2020-06-22;779954
2020-06-19;654408
2020-06-18;514440
2020-06-17;361506
2020-06-16;277630
2020-06-15;245459
2020-06-12;229647
2020-06-11;213058
2020-06-10;197342
2020-06-09;176977
2020-06-08;152687
2020-06-05;125399
2020-06-04;102903
2020-06-03;82887
2020-06-02;62861
2020-06-01;15201
2020-05-29;980466
2020-05-28;959990
2020-05-27;908596
2020-05-26;825297
2020-05-25;789462
2020-05-22;772953
2020-05-21;750921
2020-05-20;726082
2020-05-19;593293
2020-05-18;418277
2020-05-15;244149
2020-05-14;223830
2020-05-13;205024
2020-05-12;189867
2020-05-11;177593
2020-05-08;163143
2020-05-07;147480
2020-05-06;128481
2020-05-05;107048
2020-05-04;54081
2020-04-30;791839
2020-04-29;762916
2020-04-28;744444
2020-04-27;682286
2020-04-24;605372
2020-04-23;500295
2020-04-22;412892
2020-04-21;358277
2020-04-20;292719
2020-04-17;212003
2020-04-16;200896
2020-04-15;186932
2020-04-14;176953
2020-04-13;169361
2020-04-09;158877
2020-04-08;150525
2020-04-07;134149
2020-04-06;119406
2020-04-03;102635
2020-04-02;84487
2020-04-01;28635
2020-03-31;1377732
2020-03-30;1349244
2020-03-27;1314873
2020-03-26;1293196
2020-03-25;1268590
2020-03-24;1016478
2020-03-23;882112
2020-03-20;665840
2020-03-19;486694
2020-03-18;362402
2020-03-17;335823
2020-03-16;305104
2020-03-13;277088
2020-03-12;246988
2020-03-11;221055
2020-03-10;198825
2020-03-09;173777
2020-03-06;151955
2020-03-05;132092
2020-03-04;112343
2020-03-03;88373
2020-03-02;27434
2020-02-28;877070
2020-02-27;859649
2020-02-26;833928
2020-02-25;787712
2020-02-24;707520
2020-02-21;620998
2020-02-20;527323
2020-02-19;502076
2020-02-18;455216
2020-02-17;378060
2020-02-14;317546
2020-02-13;273564
2020-02-12;242774
2020-02-11;223445
2020-02-10;203808
2020-02-07;182020
2020-02-06;145536
2020-02-05;114539
2020-02-04;93798
2020-02-03;43150
2020-01-31;1051743
2020-01-30;1028143
2020-01-29;1006863
2020-01-28;975854
2020-01-27;927715
2020-01-24;903880
2020-01-23;861159
2020-01-22;752697
2020-01-21;729081
2020-01-20;701542
2020-01-17;642829
2020-01-16;559051
2020-01-15;521049
2020-01-14;496328
2020-01-13;476311
2020-01-10;456989
2020-01-09;438019
2020-01-08;418674
2020-01-07;159487
2020-01-03;75197
2020-01-02;24595
2019-12-31;923970
2019-12-30;902311
2019-12-27;864653
2019-12-26;844930
2019-12-24;828653
2019-12-23;787396
2019-12-20;739931
2019-12-19;668558
2019-12-18;549661
2019-12-17;426884
2019-12-16;320362
2019-12-13;226955
2019-12-12;203197
2019-12-11;185039
2019-12-10;164396
2019-12-09;144333
2019-12-05;125294
2019-12-04;108791
2019-12-03;87257
2019-12-02;31333
2019-11-29;1277463
2019-11-28;1246559
2019-11-27;1225404
2019-11-26;1050130
2019-11-25;992124
2019-11-22;871124
2019-11-21;837285
2019-11-20;797581
2019-11-19;706868
2019-11-18;592585
2019-11-15;415330
2019-11-14;379923
2019-11-13;358313
2019-11-12;331789
2019-11-11;269385
2019-11-08;241027
2019-11-07;218370
2019-11-06;123542
2019-11-05;89701
2019-11-04;27880
2019-10-30;795836
2019-10-29;753802
2019-10-28;701816
2019-10-25;644489
2019-10-24;598174
2019-10-23;562262
2019-10-22;542864
2019-10-21;480565
2019-10-18;443855
2019-10-17;421094
2019-10-16;372877
2019-10-15;321143
2019-10-14;267437
2019-10-11;246754
2019-10-10;230559
2019-10-09;214781
2019-10-08;198616
2019-10-07;116989
2019-10-04;100458
2019-10-03;84298
2019-10-02;63606
2019-10-01;19816
2019-09-30;567579
2019-09-27;552565
2019-09-26;538991
2019-09-25;515973
2019-09-24;500309
2019-09-23;414627
2019-09-20;398025
2019-09-19;376432
2019-09-18;357643
2019-09-17;317606
2019-09-16;258388
2019-09-13;238825
2019-09-12;224078
2019-09-11;208985
2019-09-10;192728
2019-09-09;171640
2019-09-06;157798
2019-09-05;143551
2019-09-04;129996
2019-09-03;72392
2019-09-02;19080
2019-08-30;637613
2019-08-29;591216
2019-08-28;547783
2019-08-27;426618
2019-08-26;367383
2019-08-23;349143
2019-08-22;337299
2019-08-21;324265
2019-08-20;306378
2019-08-19;284350
2019-08-16;248022
2019-08-14;223652
2019-08-13;185899
2019-08-12;153320
