date;vals
2021-06-25;4617
2021-06-24;4392
2021-06-23;4208
2021-06-22;4010
2021-06-21;3634
2021-06-18;3418
2021-06-17;3202
2021-06-16;2984
2021-06-15;2790
2021-06-14;2376
2021-06-11;2190
2021-06-10;2000
2021-06-09;1809
2021-06-08;1612
2021-06-07;1171
2021-06-04;967
2021-06-03;760
2021-06-02;576
2021-06-01;361
2021-05-31;5427
2021-05-28;5164
2021-05-27;4964
2021-05-26;4741
2021-05-25;4534
2021-05-24;4113
2021-05-21;3880
2021-05-20;3678
2021-05-19;3465
2021-05-18;3225
2021-05-17;2831
2021-05-14;2633
2021-05-13;2418
2021-05-12;2193
2021-05-11;1962
2021-05-10;1547
2021-05-07;1317
2021-05-06;1122
2021-05-05;865
2021-05-04;649
2021-05-03;200
2021-04-30;5596
2021-04-29;5385
2021-04-28;5177
2021-04-27;4947
2021-04-26;4475
2021-04-23;4266
2021-04-22;4055
2021-04-21;3830
2021-04-20;3610
2021-04-19;3206
2021-04-16;3009
2021-04-15;2794
2021-04-14;2579
2021-04-13;2371
2021-04-12;1921
2021-04-09;1716
2021-04-08;1482
2021-04-07;1256
2021-04-06;1022
2021-04-05;475
2021-04-01;179
2021-03-31;6858
2021-03-30;6618
2021-03-29;6188
2021-03-26;5892
2021-03-25;5652
2021-03-24;5406
2021-03-23;5170
2021-03-22;4725
2021-03-19;4492
2021-03-18;4278
2021-03-17;4023
2021-03-16;3783
2021-03-15;3306
2021-03-12;3042
2021-03-11;2753
2021-03-10;2451
2021-03-09;2212
2021-03-08;1697
2021-03-05;1426
2021-03-04;1163
2021-03-03;933
2021-03-02;702
2021-03-01;232
2021-02-26;5418
2021-02-25;5170
2021-02-24;4903
2021-02-23;4652
2021-02-22;4225
2021-02-19;3987
2021-02-18;3735
2021-02-17;3507
2021-02-16;3303
2021-02-15;2875
2021-02-12;2618
2021-02-11;2388
2021-02-10;2155
2021-02-09;1961
2021-02-08;1554
2021-02-05;1347
2021-02-04;1064
2021-02-03;843
2021-02-02;646
2021-02-01;200
2021-01-29;5002
2021-01-28;4808
2021-01-27;4615
2021-01-26;4466
2021-01-25;4045
2021-01-22;3842
2021-01-21;3602
2021-01-20;3412
2021-01-19;3217
2021-01-18;2807
2021-01-15;2603
2021-01-14;2381
2021-01-13;2194
2021-01-12;1982
2021-01-11;1631
2021-01-08;1417
2021-01-07;1068
2021-01-05;842
2021-01-04;268
2020-12-31;5918
2020-12-30;5705
2020-12-29;5443
2020-12-28;4887
2020-12-24;4563
2020-12-23;4346
2020-12-22;4096
2020-12-21;3647
2020-12-18;3441
2020-12-17;3222
2020-12-16;3001
2020-12-15;2815
2020-12-14;2408
2020-12-11;2210
2020-12-10;1961
2020-12-09;1671
2020-12-07;1293
2020-12-04;1112
2020-12-03;884
2020-12-02;631
2020-12-01;423
2020-11-30;6945
2020-11-27;6728
2020-11-26;6519
2020-11-25;6283
2020-11-24;6068
2020-11-23;5673
2020-11-20;5478
2020-11-19;5241
2020-11-18;5006
2020-11-17;4790
2020-11-16;4370
2020-11-13;4173
2020-11-12;3906
2020-11-11;3694
2020-11-10;3477
2020-11-09;3050
2020-11-06;2799
2020-11-05;2533
2020-11-04;2277
2020-11-03;1498
2020-11-02;512
2020-10-30;22122
2020-10-29;21272
2020-10-28;20428
2020-10-27;19527
2020-10-26;18465
2020-10-23;17575
2020-10-22;16636
2020-10-21;15684
2020-10-20;14747
2020-10-19;13720
2020-10-16;12834
2020-10-15;11880
2020-10-14;10893
2020-10-13;9582
2020-10-09;8681
2020-10-08;7794
2020-10-07;6740
2020-10-06;5718
2020-10-05;4348
2020-10-02;3127
2020-10-01;1812
2020-09-30;37492
2020-09-29;35741
2020-09-28;33835
2020-09-25;32021
2020-09-24;30304
2020-09-23;28517
2020-09-22;26728
2020-09-21;24684
2020-09-18;22882
2020-09-17;21188
2020-09-16;19454
2020-09-15;17633
2020-09-14;15672
2020-09-11;13812
2020-09-10;12285
2020-09-09;10719
2020-09-08;9192
2020-09-07;7855
2020-09-04;6374
2020-09-03;4872
2020-09-02;3302
2020-09-01;1662
2020-08-31;29048
2020-08-28;27585
2020-08-27;26340
2020-08-26;25040
2020-08-25;23739
2020-08-24;22154
2020-08-21;20754
2020-08-20;19510
2020-08-19;18202
2020-08-18;16824
2020-08-17;15187
2020-08-14;13699
2020-08-13;12394
2020-08-12;10977
2020-08-11;9536
2020-08-10;7944
2020-08-07;6758
2020-08-06;5505
2020-08-05;4372
2020-08-04;3077
2020-08-03;1436
2020-07-31;40381
2020-07-30;38968
2020-07-29;37459
2020-07-28;35858
2020-07-27;33989
2020-07-24;32339
2020-07-23;30633
2020-07-22;28898
2020-07-21;27172
2020-07-20;25170
2020-07-17;23549
2020-07-16;22023
2020-07-15;20372
2020-07-14;18487
2020-07-13;16564
2020-07-10;14629
2020-07-09;13010
2020-07-08;11265
2020-07-07;9527
2020-07-06;7556
2020-07-03;5782
2020-07-02;3880
2020-07-01;1865
2020-06-30;44850
2020-06-29;42712
2020-06-26;40779
2020-06-25;38706
2020-06-24;36656
2020-06-23;35130
2020-06-22;32876
2020-06-19;30682
2020-06-18;28648
2020-06-17;26452
2020-06-16;24339
2020-06-15;21775
2020-06-12;19449
2020-06-11;17183
2020-06-10;14890
2020-06-09;12836
2020-06-08;10466
2020-06-05;8456
2020-06-04;6992
2020-06-03;5274
2020-06-02;3539
2020-06-01;1644
2020-05-29;26691
2020-05-28;25338
