date;vals
2021-06-25;496727
2021-06-24;486869
2021-06-23;477319
2021-06-22;467899
2021-06-21;384514
2021-06-18;369748
2021-06-17;353595
2021-06-16;342160
2021-06-15;332578
2021-06-14;186930
2021-06-11;176738
2021-06-10;164290
2021-06-09;152315
2021-06-08;141071
2021-06-07;61328
2021-06-04;46906
2021-06-03;32854
2021-06-02;20679
2021-06-01;9456
2021-05-31;590142
2021-05-28;573146
2021-05-27;559854
2021-05-26;535404
2021-05-25;526266
2021-05-24;420819
2021-05-21;408833
2021-05-20;397915
2021-05-19;258755
2021-05-18;246757
2021-05-17;233818
2021-05-14;220282
2021-05-13;206598
2021-05-12;194884
2021-05-11;179519
2021-05-10;77517
2021-05-07;63095
2021-05-06;49309
2021-05-05;38340
2021-05-04;23700
2021-05-03;13058
2021-04-30;399143
2021-04-29;385083
2021-04-28;370839
2021-04-27;359555
2021-04-26;260295
2021-04-23;250270
2021-04-22;240618
2021-04-21;229619
2021-04-20;215333
2021-04-19;202144
2021-04-16;192777
2021-04-15;181127
2021-04-14;170579
2021-04-13;160080
2021-04-12;68148
2021-04-09;58226
2021-04-08;46394
2021-04-07;37395
2021-04-06;21105
2021-04-05;20635
2021-04-01;11947
2021-03-31;521851
2021-03-30;510351
2021-03-29;401631
2021-03-26;388287
2021-03-25;378216
2021-03-24;365812
2021-03-23;353720
2021-03-22;338226
2021-03-19;325146
2021-03-18;311924
2021-03-17;299155
2021-03-16;286039
2021-03-15;168431
2021-03-12;153881
2021-03-11;143031
2021-03-10;132193
2021-03-09;114969
2021-03-08;98722
2021-03-05;81876
2021-03-04;65477
2021-03-03;49614
2021-03-02;35020
2021-03-01;18077
2021-02-26;414943
2021-02-25;394230
2021-02-24;378893
2021-02-23;357780
2021-02-22;239836
2021-02-19;224395
2021-02-18;210348
2021-02-17;194274
2021-02-16;179676
2021-02-15;161033
2021-02-12;148416
2021-02-11;135010
2021-02-10;120726
2021-02-09;107141
2021-02-08;90052
2021-02-05;75373
2021-02-04;52339
2021-02-03;38592
2021-02-02;25902
2021-02-01;11712
2021-01-29;415310
2021-01-28;398969
2021-01-27;383668
2021-01-26;369319
2021-01-25;278987
2021-01-22;263573
2021-01-21;250771
2021-01-20;238152
2021-01-19;226720
2021-01-18;214425
2021-01-15;198659
2021-01-14;184744
2021-01-13;169034
2021-01-12;155879
2021-01-11;142480
2021-01-08;127760
2021-01-07;47224
2021-01-05;24771
2021-01-04;10425
2020-12-31;457260
2020-12-30;443547
2020-12-29;426459
2020-12-28;408014
2020-12-24;273929
2020-12-23;257556
2020-12-22;242323
2020-12-21;217051
2020-12-18;201122
2020-12-17;184789
2020-12-16;169649
2020-12-15;152932
2020-12-14;134634
2020-12-11;116505
2020-12-10;103755
2020-12-09;92404
2020-12-07;70781
2020-12-04;56559
2020-12-03;43671
2020-12-02;31240
2020-12-01;17769
2020-11-30;1145248
2020-11-27;479823
2020-11-26;454559
2020-11-25;424201
2020-11-24;387245
2020-11-23;306364
2020-11-20;286212
2020-11-19;267040
2020-11-18;247216
2020-11-17;204093
2020-11-16;167055
2020-11-13;151173
2020-11-12;135958
2020-11-11;116728
2020-11-10;88314
2020-11-09;60055
2020-11-06;51258
2020-11-05;40357
2020-11-04;28887
2020-11-03;18432
2020-11-02;9763
2020-10-30;302032
2020-10-29;290458
2020-10-28;277460
2020-10-27;267098
2020-10-26;164274
2020-10-23;152322
2020-10-22;142308
2020-10-21;133948
2020-10-20;123507
2020-10-19;114877
2020-10-16;104745
2020-10-15;95241
2020-10-14;88473
2020-10-13;79663
2020-10-09;64959
2020-10-08;55747
2020-10-07;47502
2020-10-06;37589
2020-10-05;28065
2020-10-02;18638
2020-10-01;9160
2020-09-30;320465
2020-09-29;310828
2020-09-28;235004
2020-09-25;218575
2020-09-24;192131
2020-09-23;180160
2020-09-22;167546
2020-09-21;150084
2020-09-18;136144
2020-09-17;125599
2020-09-16;112272
2020-09-15;103001
2020-09-14;91754
2020-09-11;83102
2020-09-10;75616
2020-09-09;68011
2020-09-08;59280
2020-09-07;49964
2020-09-04;36888
2020-09-03;27843
2020-09-02;19062
2020-09-01;9757
2020-08-31;174559
2020-08-28;165803
2020-08-27;158938
2020-08-26;153432
2020-08-25;145717
2020-08-24;138582
2020-08-21;130338
2020-08-20;123726
2020-08-19;117136
2020-08-18;109384
2020-08-17;102335
2020-08-14;95059
2020-08-13;88724
2020-08-12;80084
2020-08-11;69372
2020-08-10;61993
2020-08-07;53893
2020-08-06;46414
2020-08-05;38199
2020-08-04;28542
2020-08-03;14872
2020-07-31;520548
2020-07-30;504774
2020-07-29;493535
2020-07-28;485784
2020-07-27;466469
2020-07-24;455996
2020-07-23;446738
2020-07-22;437464
2020-07-21;357712
2020-07-20;348542
2020-07-17;339404
2020-07-16;329855
2020-07-15;318046
2020-07-14;308273
2020-07-13;298936
2020-07-10;289218
2020-07-09;277669
2020-07-08;267832
2020-07-07;259331
2020-07-06;237288
2020-07-03;170949
2020-07-02;158157
2020-07-01;149820
2020-06-30;401915
2020-06-29;391489
2020-06-26;380444
2020-06-25;364664
2020-06-24;351507
2020-06-23;337649
2020-06-22;273280
