date;vals
2021-06-25;1184852
2021-06-24;1153854
2021-06-23;1111380
2021-06-22;1080641
2021-06-21;1011224
2021-06-18;973172
2021-06-17;847962
2021-06-16;748680
2021-06-15;668193
2021-06-14;640384
2021-06-11;568508
2021-06-10;540363
2021-06-09;506623
2021-06-08;480762
2021-06-07;412473
2021-06-04;369258
2021-06-03;307842
2021-06-02;75369
2021-06-01;38430
2021-05-31;2330870
2021-05-28;2134608
2021-05-27;2103937
2021-05-26;2039572
2021-05-25;2016737
2021-05-24;1893076
2021-05-21;1579105
2021-05-20;1550129
2021-05-19;1375941
2021-05-18;1156214
2021-05-17;869820
2021-05-14;794447
2021-05-13;750931
2021-05-12;632909
2021-05-11;532096
2021-05-10;441467
2021-05-07;401667
2021-05-06;347589
2021-05-05;314069
2021-05-04;89389
2021-05-03;42763
2021-04-30;1564944
2021-04-29;1371002
2021-04-28;1332869
2021-04-27;1292255
2021-04-26;1193020
2021-04-23;1135238
2021-04-22;1071014
2021-04-21;1026674
2021-04-20;953972
2021-04-19;803732
2021-04-16;713756
2021-04-15;601311
2021-04-14;561846
2021-04-13;519857
2021-04-12;441280
2021-04-09;391927
2021-04-08;350729
2021-04-07;314604
2021-04-06;273404
2021-04-05;60639
2021-04-01;26938
2021-03-31;2349439
2021-03-30;2158315
2021-03-29;2068708
2021-03-26;2033007
2021-03-25;1975840
2021-03-24;1829750
2021-03-23;1655734
2021-03-22;1606607
2021-03-19;1434581
2021-03-18;1223066
2021-03-17;1017662
2021-03-16;963499
2021-03-15;876021
2021-03-12;835545
2021-03-11;792541
2021-03-10;758459
2021-03-09;715793
2021-03-08;680668
2021-03-05;638791
2021-03-04;595639
2021-03-03;539743
2021-03-02;306865
2021-03-01;258043
2021-02-26;2514721
2021-02-25;2451434
2021-02-24;2395026
2021-02-23;2089035
2021-02-22;1581425
2021-02-19;1028538
2021-02-18;986137
2021-02-17;952496
2021-02-16;914712
2021-02-15;881277
2021-02-12;815154
2021-02-11;779466
2021-02-10;741329
2021-02-09;708004
2021-02-08;673560
2021-02-05;635694
2021-02-04;589091
2021-02-03;542306
2021-02-02;307706
2021-02-01;237938
2021-01-29;1350939
2021-01-28;1315312
2021-01-27;1283170
2021-01-26;1191852
2021-01-25;985387
2021-01-22;796082
2021-01-21;680736
2021-01-20;591046
2021-01-19;557926
2021-01-18;523815
2021-01-15;485106
2021-01-14;450343
2021-01-13;420203
2021-01-12;392721
2021-01-11;366390
2021-01-08;331163
2021-01-07;292923
2021-01-05;62699
2021-01-04;39044
2020-12-31;1592878
2020-12-30;1402770
2020-12-29;1372797
2020-12-28;1339133
2020-12-24;1302626
2020-12-23;1273309
2020-12-22;1236578
2020-12-21;1194819
2020-12-18;1108853
2020-12-17;1008505
2020-12-16;922433
2020-12-15;861809
2020-12-14;691877
2020-12-11;521507
2020-12-10;490239
2020-12-09;458327
2020-12-07;413598
2020-12-04;383072
2020-12-03;335757
2020-12-02;93914
2020-12-01;56725
2020-11-30;1813806
2020-11-27;1618681
2020-11-26;1439027
2020-11-25;1276132
2020-11-24;1132756
2020-11-23;1055538
2020-11-20;996009
2020-11-19;914690
2020-11-18;795771
2020-11-17;744955
2020-11-16;710877
2020-11-13;677129
2020-11-12;644059
2020-11-11;613290
2020-11-10;583682
2020-11-09;553583
2020-11-06;528250
2020-11-05;496698
2020-11-04;455023
2020-11-03;228028
2020-11-02;197475
2020-10-30;1671957
2020-10-29;1636471
2020-10-28;1598703
2020-10-27;1556030
2020-10-26;1436112
2020-10-23;1276965
2020-10-22;1103901
2020-10-21;945924
2020-10-20;762415
2020-10-19;570192
2020-10-16;526079
2020-10-15;494105
2020-10-14;467639
2020-10-13;436679
2020-10-09;400579
2020-10-08;374576
2020-10-07;347420
2020-10-06;315260
2020-10-05;286088
