date;vals
2021-05-18;1302613
2021-05-17;1203617
2021-05-14;1174796
2021-05-13;1146433
2021-05-12;1117393
2021-05-11;1058631
2021-05-10;992519
2021-05-07;920864
2021-05-06;891410
2021-05-05;828098
2021-05-04;579771
2021-05-03;85
2021-04-30;2313763
2021-04-29;2135431
2021-04-28;2137015
2021-04-27;2065939
2021-04-26;2031112
2021-04-23;1976748
2021-04-22;1953951
2021-04-21;1925324
2021-04-20;1454260
2021-04-19;1364710
2021-04-16;1314334
2021-04-15;1266710
2021-04-14;1240271
2021-04-13;1203469
2021-04-12;1052672
2021-04-09;989145
2021-04-08;965476
2021-04-07;921780
2021-04-06;828362
2021-04-05;516653
2021-04-01;49
2021-03-31;2466802
2021-03-30;2319151
2021-03-29;2293291
2021-03-26;2238969
2021-03-25;2209145
2021-03-24;2195607
2021-03-23;2160944
2021-03-22;2102252
2021-03-19;2078611
2021-03-18;2057292
2021-03-17;1961560
2021-03-16;1525622
2021-03-15;1447763
2021-03-12;1350198
2021-03-11;1323240
2021-03-10;1266935
2021-03-09;1209170
2021-03-08;1151349
2021-03-05;1104031
2021-03-04;1059148
2021-03-03;1009176
2021-03-02;779688
2021-03-01;239
2021-02-26;2198805
2021-02-25;2088796
2021-02-24;2087713
2021-02-23;2055967
2021-02-22;2003092
2021-02-19;1926166
2021-02-18;1908660
2021-02-17;1895542
2021-02-16;1460354
2021-02-15;1355268
2021-02-12;1323465
2021-02-11;1299203
2021-02-10;1184027
2021-02-09;1151819
2021-02-08;1066159
2021-02-05;1016754
2021-02-04;983935
2021-02-03;939175
2021-02-02;695698
2021-02-01;222
2021-01-29;2029228
2021-01-28;1965421
2021-01-27;1943699
2021-01-26;1905616
2021-01-25;1877548
2021-01-22;1856847
2021-01-21;1823762
2021-01-20;1777718
2021-01-19;1315794
2021-01-18;1246502
2021-01-15;1193372
2021-01-14;1163639
2021-01-13;1137502
2021-01-12;1069617
2021-01-11;1005980
2021-01-08;983044
2021-01-07;929171
2021-01-05;619169
2021-01-04;149
2020-12-31;2156574
2020-12-30;2024006
2020-12-29;1996521
2020-12-28;1943638
2020-12-24;1946267
2020-12-23;1932156
2020-12-22;1900151
2020-12-21;1832613
2020-12-18;1804954
2020-12-17;1783572
2020-12-16;1764190
2020-12-15;1293781
2020-12-14;1233527
2020-12-11;1205310
2020-12-10;1177695
2020-12-09;1068615
2020-12-07;998848
2020-12-04;940303
2020-12-03;884011
2020-12-02;614672
2020-12-01;236
2020-11-30;2380575
2020-11-27;2227208
2020-11-26;2196819
2020-11-25;2191817
2020-11-24;2170217
2020-11-23;2113408
2020-11-20;2054379
2020-11-19;1982005
2020-11-18;1982514
2020-11-17;1554793
2020-11-16;1267278
2020-11-13;1240132
2020-11-12;1211595
2020-11-11;1190396
2020-11-10;1119546
2020-11-09;1059499
2020-11-06;1011930
2020-11-05;968229
2020-11-04;919749
2020-11-03;598716
2020-11-02;44
2020-10-30;2237103
2020-10-29;2172158
2020-10-28;2154341
2020-10-27;2124672
2020-10-26;2100891
2020-10-23;2044458
2020-10-22;2023812
2020-10-21;1954603
2020-10-20;1898100
2020-10-19;1831347
2020-10-16;1790695
2020-10-15;1752407
2020-10-14;1302801
2020-10-13;1220770
2020-10-09;1152392
2020-10-08;1079560
2020-10-07;1041500
2020-10-06;961535
2020-10-05;845601
2020-10-02;596920
2020-10-01;293
2020-09-30;2182129
2020-09-29;2035317
2020-09-28;1990486
2020-09-25;1923064
2020-09-24;1928898
2020-09-23;1905041
2020-09-22;1867680
2020-09-21;1805296
2020-09-18;1781196
2020-09-17;1754209
2020-09-16;1734483
2020-09-15;1228299
2020-09-14;1170172
2020-09-11;1141225
2020-09-10;1111897
2020-09-09;1095263
2020-09-08;1025959
2020-09-07;951644
2020-09-04;833001
2020-09-03;786450
2020-09-02;601086
2020-09-01;302
2020-08-31;1923687
2020-08-28;1808474
2020-08-27;1790062
2020-08-26;1774355
2020-08-25;1766168
2020-08-24;1723151
2020-08-21;1693016
2020-08-20;1663057
2020-08-19;1643815
2020-08-18;1223626
2020-08-17;1144487
2020-08-14;1110456
2020-08-13;1085681
2020-08-12;1071215
2020-08-11;997465
2020-08-10;927263
2020-08-07;898075
2020-08-06;872289
2020-08-05;814484
2020-08-04;597806
2020-08-03;178
2020-07-31;2181887
2020-07-30;2093045
2020-07-29;2075920
2020-07-28;2040733
2020-07-27;1990729
2020-07-24;1974528
2020-07-23;1868929
2020-07-22;1850256
2020-07-21;1425349
2020-07-20;1347817
2020-07-17;1310070
2020-07-16;1284151
2020-07-15;1241301
2020-07-14;1202230
2020-07-13;1090973
2020-07-10;1054490
2020-07-09;1031710
2020-07-08;998935
2020-07-07;903672
2020-07-06;812457
2020-07-03;739431
2020-07-02;601249
2020-07-01;168
2020-06-30;2206801
2020-06-29;1727025
2020-06-26;1705516
2020-06-25;1520991
2020-06-24;1522927
2020-06-23;1476986
2020-06-22;1402268
2020-06-19;1362363
2020-06-18;1331876
2020-06-17;1303718
2020-06-16;1259431
2020-06-15;1168998
2020-06-12;1138320
2020-06-11;1105576
2020-06-10;1076484
2020-06-09;990438
2020-06-08;916566
2020-06-05;860089
2020-06-04;815229
2020-06-03;752975
2020-06-02;599379
2020-06-01;151
2020-05-29;2439430
2020-05-28;2346740
2020-05-27;2327960
2020-05-26;1867986
2020-05-25;1829874
2020-05-22;1786612
2020-05-21;1750290
2020-05-20;1699620
2020-05-19;1266955
2020-05-18;1199756
2020-05-15;1130215
2020-05-14;1095503
2020-05-13;1061149
2020-05-12;995211
2020-05-11;885240
2020-05-08;854426
2020-05-07;821577
2020-05-06;769372
2020-05-05;588113
2020-05-04;178
2020-04-30;2267167
2020-04-29;2144790
2020-04-28;2111032
2020-04-27;2058533
2020-04-24;2030732
2020-04-23;2035087
2020-04-22;2018480
2020-04-21;1604973
2020-04-20;1481076
