data_date_part;count(1);WeekDay
2020-04-23;1111;Thursday
2020-04-22;1183;Wednesday
2020-04-21;1127;Tuesday
2020-04-20;1234;Monday
2020-04-17;3075;Friday
2020-04-16;1140;Thursday
2020-04-15;1306;Wednesday
2020-04-14;1132;Tuesday
2020-04-13;1131;Monday
2020-04-09;36131;Thursday
2020-04-08;999;Wednesday
2020-04-07;2222;Tuesday
2020-04-06;1011;Monday
2020-04-03;3113;Friday
2020-04-02;997;Thursday
2020-04-01;879;Wednesday
2020-03-31;20;Tuesday
2020-03-30;16;Monday
2020-03-27;5906;Friday
2020-03-26;1121;Thursday
2020-03-25;887;Wednesday
2020-03-24;959;Tuesday
2020-03-23;1104;Monday
2020-03-20;3476;Friday
2020-03-19;1100;Thursday
2020-03-18;1033;Wednesday
2020-03-17;1029;Tuesday
2020-03-16;1123;Monday
2020-03-13;3726;Friday
2020-03-12;33120;Thursday
2020-03-11;1022;Wednesday
2020-03-10;1031;Tuesday
2020-03-09;1031;Monday
2020-03-06;4276;Friday
2020-03-05;1093;Thursday
2020-03-04;1036;Wednesday
2020-03-03;1035;Tuesday
2020-03-02;1898;Monday
2020-02-28;4808;Friday
2020-02-27;1222;Thursday
2020-02-26;1123;Wednesday
2020-02-25;904;Tuesday
2020-02-24;995;Monday
2020-02-21;3611;Friday
2020-02-20;1533;Thursday
2020-02-19;1140;Wednesday
2020-02-18;1044;Tuesday
2020-02-17;1037;Monday
2020-02-14;3555;Friday
2020-02-13;1056;Thursday
2020-02-12;33659;Wednesday
2020-02-11;1032;Tuesday
2020-02-10;1024;Monday
2020-02-07;4290;Friday
2020-02-06;993;Thursday
2020-02-05;1086;Wednesday
2020-02-04;1029;Tuesday
2020-02-03;2902;Monday
2020-01-31;57;Friday
2020-01-30;200;Thursday
2020-01-29;146;Wednesday
2020-01-28;4504;Tuesday
2020-01-27;1193;Monday
2020-01-24;2972;Friday
2020-01-23;1146;Thursday
2020-01-22;1196;Wednesday
2020-01-21;1135;Tuesday
2020-01-20;1245;Monday
2020-01-17;3125;Friday
2020-01-16;1506;Thursday
2020-01-15;1357;Wednesday
2020-01-14;1127;Tuesday
2020-01-13;1066;Monday
2020-01-10;36084;Friday
2020-01-09;1013;Thursday
2020-01-08;1429;Wednesday
2020-01-07;2295;Tuesday
2020-01-03;4072;Friday
2020-01-02;1914;Thursday
2019-12-31;37;Tuesday
2019-12-30;206;Monday
2019-12-27;5839;Friday
2019-12-26;1150;Thursday
2019-12-24;1872;Tuesday
2019-12-23;1124;Monday
2019-12-20;3547;Friday
2019-12-19;1145;Thursday
2019-12-18;1059;Wednesday
2019-12-17;1042;Tuesday
2019-12-16;1169;Monday
2019-12-13;3518;Friday
2019-12-12;34552;Thursday
2019-12-11;1044;Wednesday
2019-12-10;1012;Tuesday
2019-12-09;1007;Monday
2019-12-05;5439;Thursday
2019-12-04;1011;Wednesday
2019-12-03;1031;Tuesday
2019-12-02;1915;Monday
2019-11-29;299;Friday
2019-11-28;4599;Thursday
2019-11-27;1201;Wednesday
2019-11-26;1149;Tuesday
2019-11-25;977;Monday
2019-11-22;3259;Friday
2019-11-21;1158;Thursday
2019-11-20;1231;Wednesday
2019-11-19;1150;Tuesday
2019-11-18;1061;Monday
2019-11-15;3551;Friday
2019-11-14;1152;Thursday
2019-11-13;1043;Wednesday
2019-11-12;34904;Tuesday
2019-11-11;1051;Monday
2019-11-08;3021;Friday
2019-11-07;2396;Thursday
2019-11-06;1027;Wednesday
2019-11-05;1113;Tuesday
2019-11-04;3951;Monday
2019-10-31;32;Thursday
2019-10-30;151;Wednesday
2019-10-29;112;Tuesday
2019-10-28;4671;Monday
2019-10-25;3266;Friday
2019-10-24;994;Thursday
2019-10-23;1133;Wednesday
2019-10-22;1218;Tuesday
2019-10-21;1165;Monday
2019-10-18;3399;Friday
2019-10-17;1044;Thursday
2019-10-16;1178;Wednesday
2019-10-15;1388;Tuesday
2019-10-14;1157;Monday
2019-10-11;37374;Friday
2019-10-10;1008;Thursday
