date;vals
2020-03-27;27808
2020-03-26;27144
2020-03-25;54720
2020-03-24;29453
2020-03-23;59145
2020-03-20;87628
2020-03-19;43042
2020-03-18;32035
2020-03-17;63595
2020-03-16;90304
2020-03-13;86749
2020-03-12;77581
2020-03-11;92636
2020-03-10;120869
2020-03-09;204023
2020-03-06;156165
2020-03-05;173919
2020-03-04;207310
2020-03-03;307337
2020-03-02;40476455
2020-02-28;51192
2020-02-27;58162
2020-02-26;63508
2020-02-25;96183
2020-02-24;97311
2020-02-21;115023
2020-02-20;89364
2020-02-19;89604
2020-02-18;94659
2020-02-17;139205
2020-02-14;130296
2020-02-13;92401
2020-02-12;117221
2020-02-11;112199
2020-02-10;217910
2020-02-07;151807
2020-02-06;162491
2020-02-05;212890
2020-02-04;286990
2020-02-03;40447742
2020-01-31;59585
2020-01-30;67720
2020-01-29;53651
2020-01-28;75026
2020-01-27;76798
2020-01-24;61531
2020-01-23;55011
2020-01-22;53764
2020-01-21;84108
2020-01-20;227968
2020-01-17;142176
2020-01-16;69931
2020-01-15;70983
2020-01-14;99289
2020-01-13;152520
2020-01-10;134521
2020-01-09;107987
2020-01-08;126157
2020-01-07;544809
2020-01-03;372326
2020-01-02;40144804
2019-12-31;31127
2019-12-30;57717
2019-12-27;45559
2019-12-26;37608
2019-12-24;61080
2019-12-23;80158
2019-12-20;92218
2019-12-19;115188
2019-12-18;123537
2019-12-17;92596
2019-12-16;106677
2019-12-13;92596
2019-12-12;70794
2019-12-11;70794
2019-12-10;149982
2019-12-09;221461
2019-12-05;168217
2019-12-04;193917
2019-12-03;282063
2019-12-02;40679289
2019-11-29;71381
2019-11-28;55911
2019-11-27;63933
2019-11-26;187916
2019-11-25;486322
2019-11-22;189444
2019-11-21;64956
2019-11-20;62030
2019-11-19;181438
2019-11-18;309820
2019-11-15;102612
2019-11-14;94665
2019-11-13;84955
2019-11-12;250955
2019-11-11;725103
2019-11-08;252524
2019-11-07;154775
2019-11-06;184159
2019-11-05;184159
2019-11-04;184159
2019-10-30;72026
2019-10-29;57017
2019-10-28;88558
2019-10-25;123023
2019-10-24;133738
2019-10-23;67596
2019-10-22;228663
2019-10-21;379489
2019-10-18;167355
2019-10-17;85805
2019-10-16;89089
2019-10-15;73164
2019-10-14;130507
2019-10-11;84008
2019-10-10;103068
2019-10-09;91959
2019-10-08;251009
2019-10-07;251009
2019-10-04;251009
2019-10-03;251009
2019-10-02;251009
